"GenID","CT22_STAND_BLUE","CT22_DTP_BLUE","CT22_AC_BLUE","CT22_DTS_BLUE","CT22_SC_BLUE","CT22_EL_BLUE","CT22_SL_BLUE","CT22_EW_BLUE","CT22_COV_BLUE","CT22_SOL_BLUE","CT22_TP_BLUE","CT22_CUR_BLUE","CT22_TPF_BLUE","CT22_KRF_BLUE","CT22_PH_BLUE","CT22_FLH_BLUE","CT22_EH_BLUE","CT22_LA_BLUE","CT22_NES_BLUE","CT22_TIL_BLUE","CT22_BN_BLUE","CT22_TE_BLUE","CT22_HUSK_BLUE","CT22_STAND_BLUP","CT22_DTP_BLUP","CT22_AC_BLUP","CT22_DTS_BLUP","CT22_SC_BLUP","CT22_EL_BLUP","CT22_SL_BLUP","CT22_EW_BLUP","CT22_COV_BLUP","CT22_SOL_BLUP","CT22_TP_BLUP","CT22_CUR_BLUP","CT22_TPF_BLUP","CT22_KRF_BLUP","CT22_PH_BLUP","CT22_FLH_BLUP","CT22_EH_BLUP","CT22_LA_BLUP","CT22_NES_BLUP","CT22_TIL_BLUP","CT22_BN_BLUP","CT22_TE_BLUP","CT22_HUSK_BLUP"
"13B-587-68A",14.711494094329,68.7615820987585,1.01121857687064,72.6833194179615,1.00140525826863,7.66735024685146,3.07029120881766,2.4597392684653,0.810207631657483,0.902087595957086,64.0896485185309,13.0244482442005,0.986690779188173,0.0215740678852867,108.830575068549,76.767268661928,19.1545460123724,52.0105381626544,1.09275926335128,0.640994248922156,4.87906682236006,32.3900092427696,2.01421849202774,29.8919472490901,67.7422603665094,1.26204184892918,71.3867697447808,1.18401625307686,8.53195672836015,4.2071810029571,2.65822532103336,0.81295081759741,0.91490495119321,66.4350236396655,13.9488859221829,0.955199592333274,0.0656989441016506,109.741137233137,77.6312556002899,20.409661486155,51.070314045223,1.3376101320675,0.682623564254881,5.37690736680747,32.2362853954922,1.97377781792776
"14H-588-68B",63.7802115036243,61.4335797519469,1.67788524146897,61.7940393184191,1.66807460944018,11.5766084967234,12.6897713486989,3.57305167558839,0.806548133498965,0.931559627292701,87.1876030211396,20.6069618712286,0.867152746254159,0.165534507510658,154.349132498716,110.301082752418,29.9985744163414,56.7979482044564,1.84275964226788,1.11664629563773,9.43191161233889,43.3573149936252,4.45579183212839,62.5605274111283,61.3587337102799,1.8208925547184,61.7893127260666,1.77547737886411,11.678413100164,11.2866584132198,3.44759384928946,0.811465015854197,0.92920911841051,82.1014930778854,16.2405233225175,0.894489580986781,0.138151568405819,151.347662057654,108.310014807609,28.941163555879,54.4618676377381,1.69864922732789,0.99911257593393,9.21662487737066,38.9953500480876,3.77154202273277
"176",81.7036508057797,54.3851627551856,1.67788527029322,53.6132689863834,2.33473774712558,10.0108298084952,6.42703263224378,3.3818594170136,0.816312188851531,0.934134911249459,80.4453229004944,19.2040632427889,0.922648765008685,0.109466926047905,97.7929660272878,64.150978023981,14.4886572670384,42.0290135386096,1.34276037737883,0.268028367145263,2.84307237104906,33.8130602773359,1.24178168674896,74.5786407693265,55.1635203530968,1.82089262735398,54.6059702478128,2.36403966343606,10.3995594275082,6.72560391796509,3.31876855728812,0.815429343869008,0.930611689268253,77.7338184007374,15.8366887032036,0.922674444295519,0.109933799277695,99.8282624348104,66.2080898291591,16.5477843335021,43.9746712921545,1.4579565334218,0.456078489218092,3.68801048370672,33.1683926200948,1.44745391950799
"197A-381-68A",64.120386294396,62.0536600393857,3.01121876925982,63.3281244953106,3.00140882047702,10.485691069398,11.9918610714917,2.65061974464073,0.806549998481118,0.90466428840944,67.4160715507864,18.1910292063443,0.909066574417484,0.109469599088218,145.884829140534,111.973047994697,23.0150083681819,55.7851750442004,0.926095801868828,0.300102969540577,8.74293199611542,33.9471623534091,1.31887861180784,63.0896092673017,61.8232845009556,2.93859404798368,63.1065234957159,2.95586934100316,10.8040345891358,10.7788510840979,2.79632161813481,0.811465775661038,0.916152485109886,68.7409706496657,15.5367921062972,0.915776431566393,0.109935144248192,143.460396674363,109.760875488171,23.2291119159286,53.8745452902631,1.25737935272739,0.467571352936058,8.65364097578898,33.195492752481,1.4847377468469
"2",67.0582172502237,64.64280678737,3.01121851877354,64.785237411442,1.33474057316406,10.2100089384285,3.41907379144657,2.78846580984248,0.801430666082574,0.937370155182012,76.482281024011,11.9106006094196,0.942095790643301,0.0894982835676826,121.530398611792,93.0089000695625,34.9157454623623,40.9597113321311,1.84276164425223,1.12541198022064,7.70748896673394,28.1155309706888,0.575641257727704,64.958299222149,63.8736967898489,2.93859384466856,64.2153058254473,1.47990106948118,10.5746112059758,4.53179322911499,2.89237261602052,0.809387269480551,0.932384537118499,74.7192806611981,13.5680954450812,0.932551049810529,0.0998839454816192,121.116318313325,92.3395322629693,33.0065362592568,43.4276100171175,1.69864931557029,1.02773512446682,7.76490123538232,29.5691015292239,0.9590946208108
"21-396-68B",87.9716273265776,59.0991369723439,3.01121861988904,58.9756394699685,3.00140475623643,12.0656750047184,12.7927955337228,3.61864746720726,0.821062672627319,0.949221141487521,94.705467346431,12.2655819423047,0.956565894764541,0.0593936825445614,159.647472646049,116.613454602112,32.1061671821302,46.9323597934603,1.67609335822989,1.42666367572239,10.282502436344,42.82474158247,4.69317110584191,79.0061629559827,59.2957687758466,2.9385940109758,59.3136918136764,2.95459925844133,12.0400986159547,11.3376909107305,3.46985749200909,0.817358092200307,0.937924037233925,87.1641033526283,13.6866716810623,0.939900012860881,0.0847328546401779,156.120746975701,114.045617829906,30.5592912819765,47.4680456374146,1.61841830490369,1.21906371606231,9.93046683674045,38.6548401600536,3.92667273438016
"226",33.8172407695337,56.3290814442253,2.01121852261646,60.1977536395979,2.00140616153211,11.0911961838382,8.07926375727642,3.19664468972248,0.795896413777404,0.914797439123113,70.9811159065655,11.392903157027,0.939025688719785,0.0744857744377366,88.4215532908554,59.9402759110915,17.1177840097915,50.3829468780479,1.59275945057333,1.50026174181009,5.8460031391798,28.4611325330935,2.17810132435972,43.2486451568644,56.7252415246938,2.10031789999087,60.248369739995,2.06982156904535,11.2859710853384,7.91756782626738,3.18710906132256,0.807140297852334,0.921167446796132,71.4203164816622,13.4427005455299,0.930991822033891,0.0923284342954026,91.0477698377404,62.2044691115472,18.7196031204905,49.8480649311464,1.57830292699372,1.26903251096108,6.24012009360361,29.8142999049588,2.14790585440855
"245",36.143838548196,62.9909100911508,3.01121863599728,66.2522853613852,3.00140678869389,10.3189348247807,12.3847179998324,2.37534472535637,0.797895762076223,0.913751280083804,59.4339371149288,13.9547692012556,0.887071954005837,0.149833690396041,145.43448520049,106.700249211645,27.8326224317683,37.2619736786245,1.00942796044975,2.35335390283695,10.0065599569966,38.8593040783509,1.80699413148897,44.367314677711,62.6411310535541,2.93859404654607,65.6427149416368,2.95546739726233,10.6579298743319,11.0374293608258,2.60304937057488,0.807952051262431,0.920422982213518,63.442481087561,14.2441514942742,0.904605986398079,0.130249638568173,143.141930102063,104.947234244391,27.1564499428354,40.8182397747376,1.29749483796662,1.81587814944845,9.68685681733487,36.2916060077514,1.87328862104856
"257A9",69.8768473743049,57.0738640110429,2.01121846002273,57.9107935688255,1.00140510486135,9.66155983619141,7.65607868495559,2.99292070258128,0.803428653703928,0.924960377658294,77.7107599428057,9.172724846515,0.90696636789539,0.15455314700046,139.359281590622,104.991777592099,40.8536740175422,73.2302480510233,2.00942756723684,-0.207648584217818,5.92892868718793,33.6422930691555,2.51671160965053,66.9047665181279,57.4452623963501,2.10031778342889,58.2989305101316,1.18408419726621,10.1251806206764,7.62317089513631,3.03461466568803,0.810198474102944,0.926139437797538,75.6811560405963,12.766093011296,0.914709800414762,0.132624857758916,137.476013035189,103.404951090943,38.0045440848347,65.9191765004952,1.77888017004018,0.127809722544036,6.25706555519806,32.909016029227,2.36760271462336
"34f",71.2260258876875,66.7177280785654,3.01121860000025,68.3793945560995,3.00140616054615,10.6949281356514,5.62091554774359,2.63251464523426,0.800259065009645,0.925738902085836,56.5103234278664,11.330177434194,0.865573922571821,0.174715465115921,95.9168107192629,71.7156300482678,13.3071503443118,32.2309756726744,1.09275865346182,1.56491926176282,10.3007944784969,24.193824317634,2.6600492555078,68.3674816281093,65.9481986174854,2.93859403692887,67.5960476151407,2.95514721081898,10.9838049615614,6.10312955598184,2.78793446592449,0.808911587604689,0.926439585248224,61.3689402511394,13.4395233866775,0.893687728805988,0.142772184980923,98.0180920869766,73.1826128317337,15.8100410379023,37.3408959080173,1.33761019833022,1.27198070505902,10.0229459516905,27.0849024313069,2.45251170468469
