"GenID","CT21_EL_BLUE","CT21_EW_BLUE","CT21_COV_BLUE","CT21_SOL_BLUE","CT21_TP_BLUE","CT21_CUR_BLUE","CT21_TPF_BLUE","CT21_KRF_BLUE","CT21_Germ_BLUE","CT21_PH_BLUE","CT21_EH_BLUE","CT21_LA_BLUE","CT21_FLH_BLUE","CT21_TIL_BLUE","CT21_BN_BLUE","CT21_DTP_BLUE","CT21_AC_BLUE","CT21_DTS_BLUE","CT21_SC_BLUE","CT21_TE_BLUE","CT21_EL_BLUP","CT21_EW_BLUP","CT21_COV_BLUP","CT21_SOL_BLUP","CT21_TP_BLUP","CT21_CUR_BLUP","CT21_TPF_BLUP","CT21_KRF_BLUP","CT21_Germ_BLUP","CT21_PH_BLUP","CT21_EH_BLUP","CT21_LA_BLUP","CT21_FLH_BLUP","CT21_TIL_BLUP","CT21_BN_BLUP","CT21_DTP_BLUP","CT21_AC_BLUP","CT21_DTS_BLUP","CT21_SC_BLUP","CT21_TE_BLUP"
"13B-587-68A",11.8361098923461,4.03335900470949,0.831439728697645,0.932971735325976,96.3138543327847,23.0258773824363,0.892834967182913,0.176600265596786,58.8468269772486,129.11607123576,25.6874111048184,49.3832634530697,88.4111975948801,1.37808511005217,9.9332436803864,65.9467293072229,1.34396308076602,68.1455121977039,1.02099806004951,40.1076281075472,12.0621157591628,3.91816449295661,0.830788563311782,0.935025039445468,93.0538916013904,18.4475336264002,0.903491879167038,0.151086917287826,57.310101139083,128.579308800948,26.008494521632,49.1533803544643,89.1962030592285,1.21339493068954,9.73981288603617,65.7279010930827,1.43321782406356,67.7590334326265,1.1033941355159,35.0221186307072
"14H-588-68B",13.9414840078574,3.41891311624495,0.827121379641508,0.940237985148321,75.8836851968746,30.5566894514304,0.90062151566127,0.118999241717738,15.1543743536982,164.826623632985,32.008757341896,59.0961081088215,121.884254508502,1.51491805352519,9.02240672383925,69.0708053514771,1.01065676035545,68.801895241425,1.35364184610071,40.5141097586901,13.6046599864144,3.40410792878305,0.828267976188545,0.938073167884528,80.7115350027618,19.0571776256708,0.908548135777293,0.128118145389297,19.4364044926493,159.825240614349,31.2806503071787,57.0555336829448,114.372285857564,1.31881309499666,8.97785373304318,68.5946979867179,1.13007847610858,68.3293934842896,1.41709266185465,34.3168207782705
"176",11.2599423262745,4.11545390334587,0.837392589500024,0.940488392306877,119.233536494469,19.9435193129234,0.907194355375713,0.133465889862901,84.4150233923733,99.9386462287604,23.3087198506545,33.7999552476099,64.9587306640806,0.108583633298745,5.62705476912464,54.8359289023602,1.00795796849934,56.3463143187228,3.02646216446817,33.2161662733528,11.4782479327379,4.0221745661723,0.835010412248824,0.94002924062381,111.133370003155,17.7170055131338,0.909675510460111,0.132425973232294,79.9189261403881,102.463718061683,24.2447636961912,35.5912630811666,70.5078450293907,0.2835253430073,6.19614368546462,55.3004627942288,1.13007814205484,56.7642442971296,2.99286481600816,32.581755160437
"197A-381-68A",15.675810794017,3.76151953915462,0.819127156284234,0.946145095358261,109.293738392385,15.7803417591686,0.87326320906002,0.164308802952811,57.0789791076014,151.581649290767,31.6129864169231,50.5221324235663,113.556228809871,-0.023894821043454,10.362333720169,63.6364204866468,3.00941205510409,63.1844130469821,3.01170334464481,39.036691736601,15.3309380025488,3.71024708076157,0.822512054166253,0.943288173489729,103.696129691738,15.7947305600681,0.88967202072473,0.149692002526191,55.7018126041006,149.085128562902,30.9746462400832,50.1280443142928,109.677398259003,0.187532295299782,9.97385294373014,63.4549204031011,2.94891393321864,63.0502883955003,2.98277811354283,34.5361896921888
"2",10.0983615175802,2.46758153145969,0.829858173067901,0.926325472136926,72.9588182637205,10.9651808281086,0.89312314473446,0.149075633243224,28.2649573615365,99.2434039940379,22.6891595427695,44.6888170087814,75.3364062990419,1.19086428076769,7.68800213459121,71.4783939227489,1.01641207784863,70.9482341167788,1.04394709913612,23.8961151208357,10.4669900491903,2.59196668435667,0.829854664264293,0.929974195816659,76.2445212907889,13.7093113565844,0.901513685814715,0.140665187948481,31.1396502437676,101.330837637897,23.4142774601288,45.0585152379146,78.6691145531809,1.08069647845486,7.81259331054915,70.5669683850155,1.18666353686651,70.0370481455436,1.15847550592489,28.6485924021188
"21-396-68B",11.3904856913326,2.59444211858683,0.867800126944237,0.940075060828668,71.982107795509,9.18163820228335,0.936319652310443,0.0932584464088279,34.114773882087,148.024243252002,24.3767315536252,48.049926144908,104.882791296868,1.62508687777881,7.01226447323403,67.7256357868245,2.98493870443994,67.2625330827718,3.01437079939824,42.1984890919988,11.6609324112235,2.74820016650249,0.852073297749668,0.939608270457556,76.6635529803568,13.5389629240645,0.922888406448607,0.115117422907867,36.0089848701364,145.882355926795,24.7348307782175,47.9782701166051,102.52966991061,1.39591937725154,7.21105518099696,67.157670681403,2.90257621639084,66.7202863638481,2.96707310892762,35.8435843535555
"226",10.6535016547173,3.76733706006701,0.828917791352432,0.939444021845891,102.285548826439,17.7004400736427,0.927899450053315,0.0994999106111364,75.8429498735451,102.084988924231,15.4253872090532,38.7999684828137,74.2584894349822,0.195213171587255,5.42171176664894,54.7101023070068,1.00958784736908,53.457757774375,3.01212840410743,29.1425103759837,10.950439678789,3.71817835447486,0.829211346572978,0.93858572605109,98.4403409931963,16.6833136825856,0.921368263006949,0.114172007147448,71.7985540865492,104.098616566737,17.3125747680451,39.9879869085643,77.3441090355632,0.354679969484386,5.94128388296689,55.1757456794031,1.13007839717566,54.082610821615,2.98310599578377,30.8535427446697
"245",11.129134299376,2.85626419613198,0.86695987078084,0.946871960059202,70.293362557588,11.6626062490379,0.835492785311421,0.249510814609673,18.0915527196454,147.607081839087,30.9299424428124,35.4711954270426,109.675806001326,3.21588611480412,9.31706153760581,67.0456307046608,2.98401011975823,71.1030911831196,2.99761606231224,39.5331083603942,11.4569993967458,2.96086891723722,0.851675161985256,0.94333881555501,75.1991419623333,14.3889867062623,0.87612016293211,0.183159746609277,21.9840434207771,144.853708205794,30.5362625843379,37.8140604691218,104.88135043108,2.33902891476351,9.1556787563274,66.599670798217,2.90257620362433,70.2404715719993,2.95746471133134,34.1799592204944
"257A9",10.7757704284349,3.10914667460405,0.793741169586965,0.91499806066191,83.2493966728326,18.1641234842878,0.912854657305656,0.137305760869527,23.9450587062943,126.011316414449,33.8497692199171,63.3000031143233,97.0831789348386,0.10934941917476,4.81306711349988,62.9277513946701,1.00958788388847,63.0520721318004,1.02177254833137,27.6396341586422,11.0753490738731,3.15422093466185,0.805141553351412,0.92298145052391,84.0408786565011,16.9274938017759,0.912891301895977,0.134196447610566,27.3822948056596,125.85902852487,33.0877555432251,61.3819954876753,96.3313386929565,0.284819113499386,5.48480398753028,62.8853719410918,1.13007834353257,63.0282711645942,1.1036426672823,30.1502700970906
"34f",11.8346206267142,3.14328714459586,0.818938543695671,0.939724911181435,73.2797594794599,13.1380210287458,0.851000326307108,0.179386929116317,61.298970436494,106.121604582631,21.5532524060979,41.3249129322729,80.5308094296822,2.01282113446908,9.85666802292223,69.5680402896469,3.00959719431939,68.8818996572209,3.016654200289,25.704988681281,12.0523123308221,3.1887089538113,0.823400826642574,0.939191672014554,77.3342455702319,14.9381192104491,0.883877632023151,0.152265535116868,59.5970745926636,108.46069078047,22.9067793759747,42.4769869862312,83.9058727714504,1.6786831606394,9.64977858174301,69.1118921127613,2.94891400829446,68.455684961065,2.98784633520034,29.9375189653644
