"vcfID","C19_STAND_BLUE","C19_DTP_BLUE","C19_EH_BLUE","C19_PH_BLUE","C19_FL_BLUE","C19_TE_BLUE","C19_TIL_BLUE","C19_LA_BLUE","C19_EL_BLUE","C19_EW_BLUE","C19_KRN_BLUE","C19_Germ_BLUE","C19_STAND_BLUP","C19_DTP_BLUP","C19_EH_BLUP","C19_PH_BLUP","C19_FL_BLUP","C19_TE_BLUP","C19_TIL_BLUP","C19_LA_BLUP","C19_EL_BLUP","C19_EW_BLUP","C19_KRN_BLUP","C19_Germ_BLUP"
"13B-587-68A",10.4036136323777,63.6431118519813,37.6395701969938,152.444840422763,111.029398228348,41.467866002019,2.10977363063428,44.4782600429392,119.671661587154,37.0698633130037,13.0211906059545,80.5107494841864,9.86747774284028,62.7461054991593,37.2352829864997,151.879079009104,111.004225382427,39.8169323041268,1.91117195124704,44.4077113376835,120.877875781227,36.4907881035513,13.1006582466037,75.9671321623353
"14H-588-68B",8.15537476955386,61.6403055506444,46.2449824763334,188.188189337426,145.56927956654,42.3681670688655,1.36306590817093,46.0511269312923,122.914452046863,37.3790410802772,13.1042575464776,31.2452383023212,8.04446095379412,61.0421808057045,44.822680514857,184.385713224932,142.100518021498,40.3591107962431,1.44454423973459,45.7736907776906,123.289934865967,36.6926631652966,13.133340583156,36.0951746939223
"197A-381-68A",3.15279528669075,59.6974966643888,25.6201950314678,163.927796856995,124.450906590192,39.4841504133151,0.207951066184559,54.1120167340881,NA,NA,NA,23.7765585979253,4.17854774932741,59.4504359530951,26.8112145059007,162.440524918924,123.224037601944,38.2620499791365,0.645069169681181,52.1604869917579,NA,NA,NA,29.9636124011991
"2",6.65279528669074,68.1974966643888,46.6201950314678,143.427796856995,115.450906590192,27.4841504133151,1.70795106618455,35.6120167340881,101.138776038828,28.7658343115583,10.9561437198082,50.6765585979253,6.91519619958797,66.2855504762848,45.2139518871181,143.611940188937,115.049329079549,28.948447969315,1.67772503645823,37.5007952582542,104.659195658646,29.6082741487475,11.1907498557394,51.9432194407095
"21-396-68B",11.3322409213993,58.0786136323891,44.8759469457474,183.637816124154,144.299971085057,39.4227181943551,1.07885268103437,42.1423426638579,105.874865049198,30.3030928857877,12.578192644689,88.0123256038752,10.560590259666,58.2627691732028,43.601759526338,180.253459868853,141.021942372297,38.0967032262975,1.21071281081285,42.7955570733475,109.412966329408,31.1168078444285,12.7125163654622,81.9051997743651
"245",1.15021580382762,70.1909371220621,46.1188936642828,159.884587111733,117.985096092479,41.598534276189,3.61145771408059,31.2852386952431,NA,NA,NA,8.72843846095979,3.5481469177358,66.3697097681029,43.6468599482351,157.689368903955,116.826593440572,38.8101570215253,2.61073208364073,35.8538252247341,NA,NA,NA,23.7581019145386
"27A-317-68C",10.1268270899303,61.6403055506444,50.7449824763335,183.688189337426,144.56927956654,38.8681670688655,0.863065908170929,52.9387947729331,126.914452046863,43.8790410802772,21.6042575464776,77.3952383023212,9.64753792101726,61.0421808057045,48.7661242394036,180.252609259812,141.192217074565,37.6426435433785,1.10032561747557,50.1452337505151,126.629091091949,41.9993071938108,20.4119070084969,73.8036826817813
"34f",1.83224092139933,68.5786136323891,37.3759469457474,138.637816124154,104.299971085057,33.9227181943551,1.07885268103437,41.1423426638579,142.374865049198,30.8030928857877,13.078192644689,14.9623256038752,3.13254446610159,66.7061459371431,37.0293533187604,138.922420217662,104.689904494986,33.827968971796,1.21071281081285,42.0031413039689,139.882766891494,31.5250112312373,13.1406673316587,22.2170847469957
"442A-431-68D",8.83224092139933,63.5786136323891,59.3759469457474,195.637816124154,161.799971085057,33.9227181943551,0.578852681034368,54.642342663858,98.8748650491982,31.8030928857877,12.078192644689,68.7623256038752,8.60584136662272,62.6854903352668,56.3084115276548,191.275070442504,156.917208943621,33.827968971796,0.866494188553835,52.7007541905797,103.569442933939,32.3414180048549,12.2843653992657,66.1762988260165
"469",7.40361363237733,52.6431118519859,22.1395701969923,119.444840422773,81.5293982283398,37.4678660020185,2.60977363063438,39.9782600429384,132.171661587151,34.0698633130014,10.021190605955,57.4107494841993,7.52177907118836,53.9006631750314,23.6523101575059,121.569649931563,84.2093474479102,36.712398300853,2.25539057350605,40.8418403754799,131.312738987421,34.0415677826986,10.5317524494246,57.0924510243171
